"IDX","Date","DJI","DAX","FTSE","N225"
"171",2007-09-26,1.11196976391954,1.16926615374986,1.02322252266582,0.947104578332661
"172",2007-09-27,1.11475727308782,1.17670354703298,1.03171622427231,0.969951645885638
"173",2007-09-28,1.11337028675905,1.17786016442381,1.02859866470495,0.967270296625848
"174",2007-10-01,1.1287476349175,1.18698610187053,1.03488147049467,0.97074342278711
"175",2007-10-02,1.12552343548513,1.19063738398694,1.03394304151424,0.982315520211034
"176",2007-10-03,1.11917284411004,1.191912369922,1.03947831954827,0.991138514349345
"177",2007-10-04,1.11967440009647,1.1903677260362,1.04149831429935,0.984949599181387
"178",2007-10-05,1.12702176573416,1.19893627794195,1.04911719500557,0.983367733724491
"179",2007-10-09,1.13491560041843,1.19567902106205,1.05223475457293,0.988834089165523
"180",2007-10-10,1.12803778837098,1.19659743816171,1.0550341975505,0.989870770978699
"181",2007-10-11,1.12294429507775,1.20365726641472,1.06958803881024,1.0060684885372
"182",2007-10-12,1.12919074125293,1.20479142455795,1.07057423174805,0.998703444280021
"183",2007-10-15,1.12051491729853,1.19403546865868,1.05686336885637,1.00025818567601
"184",2007-10-16,1.11475727308782,1.19301214400024,1.0520597749324,0.987567471262866
"185",2007-10-17,1.11312271680149,1.1964236895076,1.06214413790361,0.977044661054952
"186",2007-10-18,1.11283586744648,1.18683327614612,1.05128040432639,0.985733272609609
"187",2007-10-19,1.0834352159314,1.18124778748086,1.03831714681088,0.968922955004676
"188",2007-10-22,1.08703679520717,1.16788626025603,1.02740572689677,0.947261920786002
"189",2007-10-23,1.09579117803661,1.17505545879112,1.03610625099411,0.947959719871408
"190",2007-10-24,1.09571261916157,1.17298335070604,1.03101638301257,0.942647274122793
"191",2007-10-25,1.09544580074966,1.18848736327936,1.04601555670431,0.938370384776989
"192",2007-10-26,1.10624490467392,1.19099395282234,1.0595355185303,0.951132004537847
"193",2007-10-29,1.11133753727757,1.2000584381526,1.06664545888341,0.962221832791179
"194",2007-10-30,1.10510470589406,1.19530445555253,1.05916971528551,0.959509420246077
"195",2007-10-31,1.11612493268131,1.20148932229803,1.06912678511214,0.964500934628299
"196",2007-11-01,1.08710893785064,1.18075785294772,1.04757437537776,0.97215173890179
"197",2007-11-02,1.08929066747151,1.17605932357273,1.03874663559726,0.951814834743403
"198",2007-11-05,1.08514833109277,1.16977554830966,1.02773976491172,0.937491608122336
"199",2007-11-06,1.09456608243107,1.17271815532878,1.02988705296644,0.936380025437711
"200",2007-11-07,1.06564773844807,1.16858747325926,1.01560364211866,0.927566316539969
"201",2007-11-08,1.0629452043063,1.17156153808777,1.01509462414506,0.908831986772187
"202",2007-11-09,1.04503355059981,1.17050221993126,1.00284712931446,0.89798987718697
"203",2007-11-12,1.04061148522534,1.16966917754818,1.00809605567043,0.875727722856708
"204",2007-11-13,1.06621423859802,1.16528229851337,1.0119929858438,0.871667488836083
"205",2007-11-14,1.06011841574056,1.16611380457856,1.02307938571656,0.893157449672967
"206",2007-11-15,1.05042664735015,1.14872196715431,1.01154765357086,0.887207136830547
"207",2007-11-16,1.05577412667225,1.14051598312516,1.00066807618896,0.873279854930734
"208",2007-11-19,1.03827913228675,1.12548998041742,0.973564467154446,0.866822962382723
"209",2007-11-20,1.0424214686655,1.14322039000294,0.990376968347384,0.876559229221924
"210",2007-11-21,1.02550737163024,1.12645631553289,0.96562746969938,0.855015695394186
"211",2007-11-26,1.02105252121056,1.13378880110741,0.983060283123906,0.872161913245361
"212",2007-11-27,1.03827913228675,1.12839359471751,0.976729790838238,0.877212121552533
"213",2007-11-28,1.06480088337549,1.15720668066137,1.00305395180531,0.87323202187849
